cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-11.189373 	 166.612402 	 -1.265812 	 -11.212453 	 166.605428 	 -1.277070 	 0.025088 	 0.024912 
-11.186668 	 166.613218 	 -1.265739 	 -11.212558 	 166.605382 	 -1.277144 	 0.050192 	 0.049808 
-11.191313 	 166.611457 	 -1.265706 	 -11.212443 	 166.605074 	 -1.277117 	 0.075251 	 0.074749 
-11.188169 	 166.610401 	 -1.265578 	 -11.211885 	 166.603229 	 -1.277117 	 0.100363 	 0.099637 
-11.187121 	 166.605657 	 -1.264254 	 -11.210481 	 166.598587 	 -1.277117 	 0.125466 	 0.124534 
-11.183297 	 166.595353 	 -1.264817 	 -11.207306 	 166.588088 	 -1.277117 	 0.150561 	 0.149439 
-11.179219 	 166.590238 	 -1.265072 	 -11.205547 	 166.582273 	 -1.277117 	 0.175692 	 0.174308 
-11.171231 	 166.574392 	 -1.264838 	 -11.200484 	 166.565544 	 -1.277122 	 0.200857 	 0.199143 
-11.167110 	 166.549411 	 -1.261227 	 -11.193216 	 166.541512 	 -1.277122 	 0.225971 	 0.224029 
-11.160298 	 166.528914 	 -1.261006 	 -11.186967 	 166.520849 	 -1.277122 	 0.251099 	 0.248901 
-11.152495 	 166.506619 	 -1.261442 	 -11.180135 	 166.498257 	 -1.277122 	 0.276225 	 0.273775 
-11.151135 	 166.484936 	 -1.262205 	 -11.174013 	 166.478013 	 -1.277122 	 0.301165 	 0.298835 
-11.142624 	 166.461604 	 -1.261831 	 -11.166839 	 166.454284 	 -1.277091 	 0.326318 	 0.323682 
-11.128108 	 166.438827 	 -1.260690 	 -11.159309 	 166.429386 	 -1.277091 	 0.351715 	 0.348285 
-11.120305 	 166.407248 	 -1.262004 	 -11.149905 	 166.398295 	 -1.277091 	 0.376725 	 0.373275 
-11.107375 	 166.374019 	 -1.258136 	 -11.139614 	 166.364267 	 -1.277091 	 0.402105 	 0.397895 
-11.101328 	 166.332154 	 -1.258094 	 -11.127504 	 166.324232 	 -1.277133 	 0.426971 	 0.423029 
-11.085211 	 166.300352 	 -1.269994 	 -11.117345 	 166.290637 	 -1.277133 	 0.451832 	 0.448168 
-11.079164 	 166.251742 	 -1.272811 	 -11.103368 	 166.244419 	 -1.277133 	 0.476406 	 0.473594 
-11.062963 	 166.207986 	 -1.275888 	 -11.089889 	 166.199842 	 -1.277109 	 0.501468 	 0.498532 
-11.053701 	 166.158672 	 -1.283053 	 -11.075450 	 166.152100 	 -1.277109 	 0.525881 	 0.524119 
-11.037103 	 166.107485 	 -1.293104 	 -11.059874 	 166.100603 	 -1.277107 	 0.550429 	 0.549571 
-11.025249 	 166.058985 	 -1.297537 	 -11.045440 	 166.052875 	 -1.277107 	 0.575038 	 0.574962 
-11.007221 	 166.008707 	 -1.288315 	 -11.029999 	 166.001820 	 -1.277107 	 0.600755 	 0.599245 
-10.994532 	 165.952720 	 -1.286550 	 -11.013424 	 165.947010 	 -1.277119 	 0.625644 	 0.624356 
-10.974238 	 165.896548 	 -1.278550 	 -10.996157 	 165.889915 	 -1.277119 	 0.651396 	 0.648604 
-10.953590 	 165.840914 	 -1.271266 	 -10.979014 	 165.833221 	 -1.277124 	 0.677188 	 0.672812 
-10.944229 	 165.773529 	 -1.272387 	 -10.959561 	 165.768898 	 -1.277124 	 0.701453 	 0.698547 
-10.928622 	 165.714781 	 -1.270687 	 -10.941970 	 165.710741 	 -1.277096 	 0.726476 	 0.723524 
-10.901204 	 165.648824 	 -1.274328 	 -10.921396 	 165.642714 	 -1.277096 	 0.751790 	 0.748210 
-10.878134 	 165.579383 	 -1.273829 	 -10.900220 	 165.572701 	 -1.277133 	 0.777044 	 0.772956 
-10.866012 	 165.503474 	 -1.279484 	 -10.878172 	 165.499794 	 -1.277133 	 0.800828 	 0.799172 
-10.842361 	 165.430382 	 -1.278087 	 -10.855938 	 165.426268 	 -1.277105 	 0.826089 	 0.823911 
-10.812380 	 165.357049 	 -1.279721 	 -10.833111 	 165.350783 	 -1.277116 	 0.851619 	 0.848381 
-10.795202 	 165.275061 	 -1.282815 	 -10.808952 	 165.270900 	 -1.277116 	 0.875758 	 0.874242 
-10.772797 	 165.191850 	 -1.289469 	 -10.784015 	 165.188453 	 -1.277115 	 0.899943 	 0.900057 
-10.738879 	 165.111938 	 -1.291858 	 -10.759032 	 165.105845 	 -1.277115 	 0.925584 	 0.924416 
-10.719152 	 165.023223 	 -1.289971 	 -10.732799 	 165.019098 	 -1.277095 	 0.950131 	 0.949869 
-10.693065 	 164.927725 	 -1.291292 	 -10.704146 	 164.924371 	 -1.277129 	 0.974748 	 0.975252 
-10.669528 	 164.848054 	 -1.284821 	 -10.680099 	 164.844852 	 -1.277129 	 1.000335 	 0.999665 
-10.636460 	 164.744884 	 -1.280492 	 -10.648747 	 164.741173 	 -1.277104 	 1.025945 	 1.024055 
-10.618177 	 164.647570 	 -1.280957 	 -10.620244 	 164.646937 	 -1.277108 	 1.049831 	 1.050169 
-10.574005 	 164.570345 	 -1.271823 	 -10.595147 	 164.563951 	 -1.277108 	 1.077737 	 1.072263 
-10.556770 	 164.447178 	 -1.277811 	 -10.559574 	 164.446330 	 -1.277118 	 1.100224 	 1.099776 
-10.526520 	 164.350142 	 -1.271877 	 -10.530153 	 164.349036 	 -1.277116 	 1.125904 	 1.124096 
-10.506354 	 164.244117 	 -1.281971 	 -10.499086 	 164.246310 	 -1.277116 	 1.148755 	 1.151245 
-10.467380 	 164.138371 	 -1.273923 	 -10.466520 	 164.138637 	 -1.277126 	 1.175230 	 1.174770 
-10.438050 	 164.031142 	 -1.279894 	 -10.434352 	 164.032258 	 -1.277103 	 1.199335 	 1.200665 
-10.401640 	 163.918094 	 -1.283833 	 -10.399977 	 163.918600 	 -1.277103 	 1.224153 	 1.225847 
-10.369917 	 163.803026 	 -1.285442 	 -10.365433 	 163.804382 	 -1.277101 	 1.248697 	 1.251303 
-10.328011 	 163.685956 	 -1.287622 	 -10.329481 	 163.685511 	 -1.277137 	 1.274105 	 1.275895 
-10.300225 	 163.569757 	 -1.286414 	 -10.294963 	 163.571356 	 -1.277094 	 1.298518 	 1.301482 
-10.272737 	 163.441438 	 -1.285063 	 -10.257100 	 163.446165 	 -1.277094 	 1.322569 	 1.327431 
-10.213667 	 163.324331 	 -1.288289 	 -10.219697 	 163.322506 	 -1.277118 	 1.349513 	 1.350487 
-10.193727 	 163.198070 	 -1.293596 	 -10.183046 	 163.201301 	 -1.277127 	 1.372237 	 1.377763 
-10.159399 	 163.058520 	 -1.288276 	 -10.141504 	 163.063930 	 -1.277100 	 1.397013 	 1.402987 
-10.113584 	 162.935205 	 -1.289782 	 -10.103493 	 162.938250 	 -1.277100 	 1.422678 	 1.427322 
-10.079015 	 162.791189 	 -1.291304 	 -10.060692 	 162.796734 	 -1.277109 	 1.446666 	 1.453334 
-10.048198 	 162.655160 	 -1.292512 	 -10.020420 	 162.663567 	 -1.277113 	 1.470558 	 1.479442 
-10.008630 	 162.518168 	 -1.281700 	 -9.979141 	 162.527086 	 -1.277116 	 1.496461 	 1.503539 
-9.973324 	 162.374560 	 -1.285262 	 -9.936392 	 162.385732 	 -1.277116 	 1.520327 	 1.529673 
-9.922581 	 162.233101 	 -1.290840 	 -9.892944 	 162.242063 	 -1.277119 	 1.545532 	 1.554468 
-9.893592 	 162.087028 	 -1.277071 	 -9.850044 	 162.100200 	 -1.277127 	 1.570456 	 1.579544 
-9.838615 	 161.939139 	 -1.294020 	 -9.804459 	 161.949465 	 -1.277103 	 1.594740 	 1.605260 
-9.803125 	 161.794956 	 -1.287056 	 -9.761530 	 161.807535 	 -1.277111 	 1.619660 	 1.630340 
-9.751179 	 161.623976 	 -1.290467 	 -9.709803 	 161.636491 	 -1.277114 	 1.644342 	 1.655658 
-9.714669 	 161.482313 	 -1.282922 	 -9.667490 	 161.496578 	 -1.277114 	 1.669490 	 1.680510 
-9.660995 	 161.324139 	 -1.282363 	 -9.619166 	 161.336787 	 -1.277117 	 1.695105 	 1.704895 
-9.619316 	 161.156623 	 -1.288381 	 -9.569260 	 161.171766 	 -1.277121 	 1.718644 	 1.731356 
-9.557046 	 161.006992 	 -1.279323 	 -9.522581 	 161.017419 	 -1.277107 	 1.746178 	 1.753822 
-9.503358 	 160.850022 	 -1.281984 	 -9.474584 	 160.858719 	 -1.277105 	 1.771506 	 1.778494 
-9.442730 	 160.678893 	 -1.284140 	 -9.422088 	 160.685143 	 -1.277105 	 1.797140 	 1.802860 
-9.407042 	 160.497126 	 -1.275220 	 -9.368729 	 160.508714 	 -1.277113 	 1.821187 	 1.828813 
-9.355110 	 160.330575 	 -1.277380 	 -9.318232 	 160.341733 	 -1.277132 	 1.846122 	 1.853878 
-9.297881 	 160.164320 	 -1.276492 	 -9.267371 	 160.173545 	 -1.277098 	 1.871873 	 1.878127 
-9.248866 	 159.983146 	 -1.275385 	 -9.213058 	 159.993976 	 -1.277122 	 1.896433 	 1.903567 
-9.198591 	 159.801250 	 -1.278698 	 -9.158447 	 159.813391 	 -1.277104 	 1.920647 	 1.929353 
-9.142566 	 159.619354 	 -1.275979 	 -9.103347 	 159.631214 	 -1.277127 	 1.946017 	 1.953983 
-9.095634 	 159.429062 	 -1.273522 	 -9.046690 	 159.443864 	 -1.277127 	 1.970247 	 1.979753 
-9.022289 	 159.259619 	 -1.273918 	 -8.993599 	 159.268297 	 -1.277114 	 1.997322 	 2.002678 
-8.975809 	 159.058227 	 -1.269064 	 -8.933898 	 159.070897 	 -1.277094 	 2.021425 	 2.028575 
-8.904022 	 158.871938 	 -1.274342 	 -8.876263 	 158.880335 	 -1.277124 	 2.047378 	 2.052622 
-8.864042 	 158.667451 	 -1.272457 	 -8.816253 	 158.681903 	 -1.277122 	 2.070474 	 2.079526 
-8.793190 	 158.477048 	 -1.271352 	 -8.757559 	 158.487824 	 -1.277103 	 2.096853 	 2.103147 
-8.736174 	 158.279714 	 -1.261821 	 -8.698101 	 158.291224 	 -1.277109 	 2.122551 	 2.127449 
-8.678435 	 158.081583 	 -1.269390 	 -8.638363 	 158.093699 	 -1.277109 	 2.146586 	 2.153414 
-8.615400 	 157.874353 	 -1.268757 	 -8.575660 	 157.886373 	 -1.277116 	 2.171684 	 2.178316 
-8.547918 	 157.673461 	 -1.281887 	 -8.514342 	 157.683609 	 -1.277114 	 2.196015 	 2.203985 
-8.487333 	 157.465638 	 -1.268188 	 -8.451681 	 157.476421 	 -1.277121 	 2.222169 	 2.227831 
-8.420375 	 157.256480 	 -1.275535 	 -8.388115 	 157.266236 	 -1.277123 	 2.246789 	 2.253211 
-8.362906 	 157.037796 	 -1.254913 	 -8.322706 	 157.049949 	 -1.277108 	 2.273020 	 2.276980 
-8.291940 	 156.821263 	 -1.269579 	 -8.256766 	 156.831908 	 -1.277111 	 2.297078 	 2.302922 
-8.226129 	 156.617535 	 -1.267528 	 -8.194797 	 156.627008 	 -1.277113 	 2.322685 	 2.327315 
-8.146921 	 156.396480 	 -1.267430 	 -8.126911 	 156.402535 	 -1.277119 	 2.348878 	 2.351122 
-8.079382 	 156.178186 	 -1.260976 	 -8.060765 	 156.183816 	 -1.277119 	 2.374669 	 2.375331 
-8.018301 	 155.951737 	 -1.270373 	 -7.992898 	 155.959418 	 -1.277101 	 2.398019 	 2.401981 
-7.947874 	 155.730200 	 -1.258665 	 -7.925612 	 155.736937 	 -1.277122 	 2.424520 	 2.425480 
-7.879811 	 155.498470 	 -1.268100 	 -7.855699 	 155.505760 	 -1.277110 	 2.448382 	 2.451618 
-7.800929 	 155.266165 	 -1.257253 	 -7.784722 	 155.271067 	 -1.277112 	 2.475293 	 2.474707 
-7.723505 	 155.034583 	 -1.256927 	 -7.714064 	 155.037435 	 -1.277114 	 2.501032 	 2.498968 
-7.661560 	 154.799424 	 -1.263578 	 -7.643717 	 154.804823 	 -1.277117 	 2.524490 	 2.525510 
-7.577509 	 154.569658 	 -1.261363 	 -7.573009 	 154.571021 	 -1.277121 	 2.551106 	 2.548894 
-7.511911 	 154.313298 	 -1.260210 	 -7.496480 	 154.317961 	 -1.277107 	 2.575078 	 2.574922 
-7.423554 	 154.086998 	 -1.261988 	 -7.426368 	 154.086146 	 -1.277111 	 2.601806 	 2.598194 
-7.363493 	 153.830546 	 -1.272274 	 -7.350276 	 153.834546 	 -1.277111 	 2.624103 	 2.625897 
-7.280192 	 153.591995 	 -1.269493 	 -7.277200 	 153.592901 	 -1.277113 	 2.650449 	 2.649551 
-7.206578 	 153.336284 	 -1.277480 	 -7.200173 	 153.338214 	 -1.277115 	 2.674295 	 2.675705 
-7.118263 	 153.082222 	 -1.261788 	 -7.122379 	 153.080984 	 -1.277116 	 2.701963 	 2.698037 
-7.052311 	 152.825028 	 -1.269100 	 -7.045587 	 152.827063 	 -1.277106 	 2.725098 	 2.724902 
-6.965724 	 152.581660 	 -1.266753 	 -6.970897 	 152.580099 	 -1.277123 	 2.751577 	 2.748423 
-6.886941 	 152.315107 	 -1.254471 	 -6.890439 	 152.314051 	 -1.277111 	 2.777629 	 2.772371 
-6.805099 	 152.059525 	 -1.264791 	 -6.812765 	 152.057209 	 -1.277113 	 2.802033 	 2.797967 
-6.731258 	 151.795345 	 -1.266196 	 -6.733374 	 151.794701 	 -1.277116 	 2.826313 	 2.823687 
-6.649048 	 151.514522 	 -1.262473 	 -6.648677 	 151.514640 	 -1.277117 	 2.851425 	 2.848575 
-6.553695 	 151.261795 	 -1.264430 	 -6.570657 	 151.256663 	 -1.277106 	 2.878040 	 2.871960 
-6.480421 	 150.981305 	 -1.265521 	 -6.486795 	 150.979378 	 -1.277110 	 2.901825 	 2.898175 
-6.391852 	 150.717273 	 -1.248951 	 -6.406213 	 150.712931 	 -1.277110 	 2.929316 	 2.920684 
-6.308140 	 150.438211 	 -1.268701 	 -6.321875 	 150.434055 	 -1.277112 	 2.952276 	 2.947724 
-6.209162 	 150.161632 	 -1.264762 	 -6.236946 	 150.153230 	 -1.277115 	 2.979138 	 2.970862 
-6.131412 	 149.880994 	 -1.267945 	 -6.152668 	 149.874568 	 -1.277116 	 3.003138 	 2.996862 
-6.048465 	 149.594000 	 -1.266940 	 -6.066200 	 149.588643 	 -1.277118 	 3.027870 	 3.022130 
-5.954416 	 149.314123 	 -1.274928 	 -5.980766 	 149.306149 	 -1.277109 	 3.052971 	 3.047029 
