cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-4.809757 	 146.022920 	 -1.306121 	 -4.861506 	 146.007470 	 -1.280669 	 0.012536 	 0.012464 
-4.812250 	 146.023828 	 -1.303918 	 -4.861959 	 146.008987 	 -1.280669 	 0.025072 	 0.024928 
-4.811443 	 146.025292 	 -1.306705 	 -4.862294 	 146.010110 	 -1.280669 	 0.037601 	 0.037399 
-4.808582 	 146.024866 	 -1.307396 	 -4.861943 	 146.008934 	 -1.280669 	 0.050145 	 0.049855 
-4.811273 	 146.021789 	 -1.305157 	 -4.861320 	 146.006847 	 -1.280669 	 0.062673 	 0.062327 
-4.809063 	 146.018287 	 -1.307358 	 -4.860179 	 146.003026 	 -1.280669 	 0.075200 	 0.074800 
-4.806004 	 146.012764 	 -1.308014 	 -4.858415 	 145.997117 	 -1.280669 	 0.087739 	 0.087261 
-4.804475 	 146.004054 	 -1.306918 	 -4.855902 	 145.988700 	 -1.280669 	 0.100274 	 0.099726 
-4.800070 	 145.990525 	 -1.306374 	 -4.851833 	 145.975071 	 -1.280669 	 0.112819 	 0.112181 
-4.797450 	 145.977200 	 -1.308547 	 -4.847966 	 145.962118 	 -1.280669 	 0.125311 	 0.124689 
-4.797889 	 145.964153 	 -1.310048 	 -4.844426 	 145.950260 	 -1.280669 	 0.137764 	 0.137236 
-4.795921 	 145.956963 	 -1.314942 	 -4.842294 	 145.943118 	 -1.280669 	 0.150212 	 0.149788 
-4.790497 	 145.945139 	 -1.314093 	 -4.838609 	 145.930775 	 -1.280669 	 0.162773 	 0.162227 
-4.788713 	 145.927644 	 -1.315645 	 -4.833667 	 145.914223 	 -1.280669 	 0.175209 	 0.174791 
-4.784733 	 145.910835 	 -1.321485 	 -4.828734 	 145.897699 	 -1.280669 	 0.187596 	 0.187404 
-4.781518 	 145.893693 	 -1.320319 	 -4.823771 	 145.881078 	 -1.280669 	 0.200089 	 0.199911 
-4.772525 	 145.879942 	 -1.323476 	 -4.819266 	 145.865987 	 -1.280669 	 0.212627 	 0.212373 
-4.767965 	 145.859797 	 -1.323420 	 -4.813371 	 145.846241 	 -1.280669 	 0.225104 	 0.224896 
-4.760204 	 145.842895 	 -1.321282 	 -4.808103 	 145.828595 	 -1.280669 	 0.237723 	 0.237277 
-4.755984 	 145.819285 	 -1.315533 	 -4.801285 	 145.805760 	 -1.280669 	 0.250310 	 0.249690 
-4.747430 	 145.799548 	 -1.314151 	 -4.795175 	 145.785293 	 -1.280669 	 0.262929 	 0.262071 
-4.742856 	 145.773510 	 -1.313186 	 -4.787663 	 145.760132 	 -1.280669 	 0.275392 	 0.274608 
-4.743210 	 145.741541 	 -1.313432 	 -4.778929 	 145.730877 	 -1.280669 	 0.287630 	 0.287370 
-4.742360 	 145.707886 	 -1.320144 	 -4.769634 	 145.699743 	 -1.280669 	 0.299670 	 0.300330 
-4.722208 	 145.689168 	 -1.316542 	 -4.762854 	 145.677033 	 -1.280669 	 0.312705 	 0.312295 
-4.717818 	 145.654939 	 -1.305393 	 -4.753111 	 145.644402 	 -1.280669 	 0.325394 	 0.324606 
-4.706785 	 145.624434 	 -1.305665 	 -4.743847 	 145.613369 	 -1.280669 	 0.337962 	 0.337038 
-4.696999 	 145.594727 	 -1.306470 	 -4.734902 	 145.583411 	 -1.280669 	 0.350481 	 0.349519 
