cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
24.537560 	 47.338942 	 1.887013 	 24.457552 	 47.315373 	 1.857270 	 0.012433 	 0.012567 
24.537531 	 47.340962 	 1.887357 	 24.456990 	 47.317232 	 1.857329 	 0.024865 	 0.025135 
24.538721 	 47.340758 	 1.885317 	 24.457140 	 47.316723 	 1.857329 	 0.037286 	 0.037714 
24.542913 	 47.344539 	 1.886841 	 24.456450 	 47.319064 	 1.857329 	 0.049697 	 0.050303 
24.543536 	 47.346003 	 1.888408 	 24.456103 	 47.320243 	 1.857329 	 0.062125 	 0.062875 
24.543182 	 47.347689 	 1.885233 	 24.455618 	 47.321889 	 1.857329 	 0.074525 	 0.075475 
24.540845 	 47.352934 	 1.885620 	 24.454010 	 47.327347 	 1.857329 	 0.086955 	 0.088045 
24.539755 	 47.357419 	 1.888068 	 24.452707 	 47.331770 	 1.857329 	 0.099400 	 0.100600 
24.537503 	 47.366463 	 1.887446 	 24.450075 	 47.340703 	 1.857329 	 0.111813 	 0.113187 
24.532886 	 47.380177 	 1.885251 	 24.445987 	 47.354575 	 1.857302 	 0.124217 	 0.125783 
24.525777 	 47.393131 	 1.886973 	 24.441908 	 47.368423 	 1.857302 	 0.136706 	 0.138294 
24.524233 	 47.411812 	 1.885460 	 24.436722 	 47.386030 	 1.857301 	 0.149054 	 0.150946 
24.517195 	 47.429937 	 1.886272 	 24.431246 	 47.404616 	 1.857301 	 0.161515 	 0.163485 
24.514036 	 47.443095 	 1.886883 	 24.427427 	 47.417578 	 1.857301 	 0.173938 	 0.176062 
24.511756 	 47.454955 	 1.886142 	 24.424031 	 47.429111 	 1.857301 	 0.186326 	 0.188674 
24.505638 	 47.471190 	 1.882097 	 24.419142 	 47.445707 	 1.857301 	 0.198692 	 0.201308 
24.500328 	 47.488444 	 1.882418 	 24.414041 	 47.463022 	 1.857301 	 0.211122 	 0.213878 
24.495640 	 47.508607 	 1.880716 	 24.408201 	 47.482847 	 1.857317 	 0.223476 	 0.226524 
24.485528 	 47.532032 	 1.882044 	 24.401042 	 47.507139 	 1.857316 	 0.235995 	 0.239005 
24.481407 	 47.554549 	 1.883018 	 24.394608 	 47.528974 	 1.857316 	 0.248380 	 0.251620 
24.470134 	 47.578549 	 1.879908 	 24.387201 	 47.554114 	 1.857315 	 0.260824 	 0.264176 
24.457332 	 47.598397 	 1.875449 	 24.380798 	 47.575848 	 1.857315 	 0.273305 	 0.276695 
24.452772 	 47.622341 	 1.886299 	 24.373944 	 47.599115 	 1.857314 	 0.285971 	 0.289029 
24.445237 	 47.645951 	 1.889235 	 24.366941 	 47.622885 	 1.857314 	 0.298509 	 0.301491 
24.439077 	 47.686667 	 1.906423 	 24.355410 	 47.662019 	 1.857291 	 0.311310 	 0.313690 
