cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-4.550309 	 -0.465406 	 0.129863 	 -4.573529 	 -0.240009 	 0.102656 	 0.012251 	 0.012749 
-4.548072 	 -0.466648 	 0.120773 	 -4.571442 	 -0.239794 	 0.102656 	 0.024475 	 0.025525 
-4.548242 	 -0.464387 	 0.120632 	 -4.571379 	 -0.239788 	 0.102656 	 0.036721 	 0.038279 
-4.549304 	 -0.464609 	 0.124465 	 -4.572453 	 -0.239899 	 0.102656 	 0.048980 	 0.051020 
-4.549941 	 -0.465721 	 0.125817 	 -4.573197 	 -0.239975 	 0.102656 	 0.061226 	 0.063774 
-4.546981 	 -0.466185 	 0.130715 	 -4.570315 	 -0.239678 	 0.102656 	 0.073503 	 0.076497 
-4.544248 	 -0.465017 	 0.126009 	 -4.567492 	 -0.239387 	 0.102656 	 0.085720 	 0.089280 
-4.538781 	 -0.461626 	 0.128791 	 -4.561737 	 -0.238795 	 0.102656 	 0.098021 	 0.101979 
-4.528259 	 -0.463498 	 0.119538 	 -4.551516 	 -0.237742 	 0.102656 	 0.110137 	 0.114863 
-4.510684 	 -0.456140 	 0.126536 	 -4.533376 	 -0.235873 	 0.102656 	 0.122531 	 0.127469 
-4.494978 	 -0.453638 	 0.131018 	 -4.517580 	 -0.234246 	 0.102656 	 0.134857 	 0.140143 
-4.480547 	 -0.453638 	 0.133745 	 -4.503300 	 -0.232775 	 0.102656 	 0.147136 	 0.152864 
-4.467192 	 -0.451526 	 0.135094 	 -4.489870 	 -0.231391 	 0.102656 	 0.159431 	 0.165569 
-4.455849 	 -0.447430 	 0.136155 	 -4.478228 	 -0.230192 	 0.102656 	 0.171764 	 0.178236 
-4.443358 	 -0.450932 	 0.134633 	 -4.466226 	 -0.228955 	 0.102656 	 0.183915 	 0.191085 
-4.424097 	 -0.445947 	 0.132889 	 -4.446659 	 -0.226940 	 0.102656 	 0.196201 	 0.203799 
-4.404426 	 -0.445317 	 0.131730 	 -4.427131 	 -0.224928 	 0.102656 	 0.208410 	 0.216590 
-4.381810 	 -0.443260 	 0.129126 	 -4.404542 	 -0.222601 	 0.102656 	 0.220604 	 0.229396 
-4.357862 	 -0.442982 	 0.114391 	 -4.380817 	 -0.220157 	 0.102656 	 0.232459 	 0.242541 
-4.339026 	 -0.439127 	 0.113871 	 -4.361786 	 -0.218196 	 0.102656 	 0.244728 	 0.255272 
-4.318137 	 -0.437200 	 0.111542 	 -4.340920 	 -0.216047 	 0.102656 	 0.256897 	 0.268103 
-4.291895 	 -0.437515 	 0.111547 	 -4.314986 	 -0.213375 	 0.102656 	 0.269048 	 0.280952 
-4.266630 	 -0.430510 	 0.109905 	 -4.289272 	 -0.210726 	 0.102656 	 0.281356 	 0.293644 
-4.238858 	 -0.430769 	 0.111584 	 -4.261818 	 -0.207898 	 0.102656 	 0.293546 	 0.306454 
-4.208736 	 -0.427600 	 0.108802 	 -4.231689 	 -0.204794 	 0.102656 	 0.305693 	 0.319307 
-4.179760 	 -0.421670 	 0.116499 	 -4.202413 	 -0.201778 	 0.102656 	 0.318266 	 0.331734 
-4.149185 	 -0.413478 	 0.122271 	 -4.171324 	 -0.198575 	 0.102656 	 0.330871 	 0.344129 
-4.114913 	 -0.416759 	 0.126615 	 -4.137746 	 -0.195116 	 0.102656 	 0.343040 	 0.356960 
-4.084124 	 -0.410958 	 0.135830 	 -4.106690 	 -0.191917 	 0.102656 	 0.355720 	 0.369280 
-4.047728 	 -0.402711 	 0.142834 	 -4.069835 	 -0.188120 	 0.102656 	 0.368417 	 0.381583 
-4.011346 	 -0.401766 	 0.149089 	 -4.033738 	 -0.184401 	 0.102656 	 0.380832 	 0.394168 
-3.974128 	 -0.397337 	 0.145723 	 -3.996460 	 -0.180561 	 0.102656 	 0.393006 	 0.406994 
-3.936061 	 -0.392926 	 0.143979 	 -3.958343 	 -0.176634 	 0.102656 	 0.405235 	 0.419765 
