cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-4.905988 	 146.190509 	 -1.253818 	 -4.915321 	 146.187723 	 -1.280669 	 0.012546 	 0.012454 
-4.908466 	 146.190954 	 -1.252487 	 -4.915646 	 146.188810 	 -1.280669 	 0.025089 	 0.024911 
-4.905422 	 146.191269 	 -1.255126 	 -4.915483 	 146.188265 	 -1.280669 	 0.037635 	 0.037365 
-4.906314 	 146.188989 	 -1.252405 	 -4.914931 	 146.186417 	 -1.280669 	 0.050186 	 0.049814 
-4.905577 	 146.191102 	 -1.252469 	 -4.915450 	 146.188155 	 -1.280669 	 0.062741 	 0.062259 
-4.902943 	 146.186154 	 -1.254459 	 -4.913878 	 146.182889 	 -1.280669 	 0.075282 	 0.074718 
-4.904161 	 146.179723 	 -1.253866 	 -4.912215 	 146.177319 	 -1.280669 	 0.087808 	 0.087192 
-4.902773 	 146.171198 	 -1.255222 	 -4.909764 	 146.169111 	 -1.280669 	 0.100327 	 0.099673 
-4.898652 	 146.157095 	 -1.255070 	 -4.905561 	 146.155032 	 -1.280669 	 0.112869 	 0.112131 
-4.893526 	 146.146439 	 -1.257114 	 -4.902220 	 146.143843 	 -1.280669 	 0.125408 	 0.124592 
-4.891458 	 146.133466 	 -1.253904 	 -4.898495 	 146.131365 	 -1.280669 	 0.137969 	 0.137031 
-4.888569 	 146.125052 	 -1.254724 	 -4.895952 	 146.122848 	 -1.280669 	 0.150505 	 0.149495 
-4.887223 	 146.113581 	 -1.253140 	 -4.892698 	 146.111946 	 -1.280669 	 0.163040 	 0.161960 
-4.880539 	 146.101794 	 -1.257009 	 -4.888920 	 146.099292 	 -1.280669 	 0.175567 	 0.174433 
-4.878018 	 146.090508 	 -1.252974 	 -4.885620 	 146.088238 	 -1.280669 	 0.188168 	 0.186832 
-4.870626 	 146.069788 	 -1.259438 	 -4.879335 	 146.067188 	 -1.280669 	 0.200606 	 0.199394 
-4.859069 	 146.041860 	 -1.253857 	 -4.870734 	 146.038378 	 -1.280669 	 0.213328 	 0.211672 
-4.851280 	 146.017101 	 -1.258039 	 -4.863309 	 146.013509 	 -1.280669 	 0.225792 	 0.224208 
-4.848731 	 145.995862 	 -1.259512 	 -4.857279 	 145.993310 	 -1.280669 	 0.238214 	 0.236786 
-4.841112 	 145.975588 	 -1.258702 	 -4.851098 	 145.972607 	 -1.280669 	 0.250810 	 0.249190 
-4.835617 	 145.952033 	 -1.261728 	 -4.844191 	 145.949473 	 -1.280669 	 0.263232 	 0.261768 
-4.830278 	 145.929423 	 -1.265338 	 -4.837556 	 145.927250 	 -1.280669 	 0.275630 	 0.274370 
-4.822078 	 145.909686 	 -1.262207 	 -4.831475 	 145.906881 	 -1.280669 	 0.288313 	 0.286687 
-4.809077 	 145.887410 	 -1.268179 	 -4.824305 	 145.882864 	 -1.280669 	 0.300851 	 0.299149 
-4.802605 	 145.849659 	 -1.264475 	 -4.813427 	 145.846429 	 -1.280669 	 0.313359 	 0.311641 
-4.797210 	 145.817821 	 -1.272884 	 -4.804258 	 145.815716 	 -1.280669 	 0.325492 	 0.324508 
-4.787934 	 145.797898 	 -1.268236 	 -4.798037 	 145.794882 	 -1.280669 	 0.338275 	 0.336725 
-4.774437 	 145.766374 	 -1.268959 	 -4.788292 	 145.762238 	 -1.280669 	 0.350916 	 0.349084 
-4.764765 	 145.734387 	 -1.275502 	 -4.778732 	 145.730217 	 -1.280669 	 0.363216 	 0.361784 
-4.742898 	 145.707701 	 -1.278712 	 -4.769627 	 145.699721 	 -1.280669 	 0.376119 	 0.373881 
-4.729600 	 145.669857 	 -1.277405 	 -4.758165 	 145.661329 	 -1.280669 	 0.388782 	 0.386218 
-4.721755 	 145.634479 	 -1.281742 	 -4.747825 	 145.626695 	 -1.280669 	 0.401045 	 0.398955 
-4.706488 	 145.598878 	 -1.274172 	 -4.736817 	 145.589823 	 -1.280669 	 0.414074 	 0.410926 
-4.694705 	 145.560923 	 -1.272478 	 -4.725449 	 145.551745 	 -1.280669 	 0.426712 	 0.423288 
-4.686944 	 145.517520 	 -1.270855 	 -4.712916 	 145.509766 	 -1.280669 	 0.439115 	 0.435885 
-4.674510 	 145.486627 	 -1.274137 	 -4.703430 	 145.477993 	 -1.280669 	 0.451652 	 0.448348 
-4.667585 	 145.429324 	 -1.271924 	 -4.687155 	 145.423481 	 -1.280669 	 0.463849 	 0.461151 
-4.655179 	 145.384253 	 -1.268205 	 -4.673785 	 145.378698 	 -1.280669 	 0.476514 	 0.473486 
-4.636698 	 145.343259 	 -1.269008 	 -4.661035 	 145.335993 	 -1.280669 	 0.489307 	 0.485693 
-4.622861 	 145.299411 	 -1.271949 	 -4.647884 	 145.291941 	 -1.280669 	 0.501742 	 0.498258 
-4.612396 	 145.255119 	 -1.266500 	 -4.634886 	 145.248404 	 -1.280669 	 0.514429 	 0.510571 
-4.603573 	 145.209547 	 -1.260437 	 -4.621672 	 145.204144 	 -1.280669 	 0.527054 	 0.522946 
-4.580474 	 145.161270 	 -1.269046 	 -4.606548 	 145.153486 	 -1.280669 	 0.539587 	 0.535413 
-4.571850 	 145.110380 	 -1.271228 	 -4.591892 	 145.104396 	 -1.280669 	 0.551670 	 0.548330 
-4.548638 	 145.052948 	 -1.282489 	 -4.574249 	 145.045302 	 -1.280669 	 0.563901 	 0.561099 
-4.537592 	 145.003281 	 -1.282224 	 -4.559730 	 144.996671 	 -1.280669 	 0.576239 	 0.573761 
-4.516844 	 144.944663 	 -1.278173 	 -4.541964 	 144.937163 	 -1.280669 	 0.589187 	 0.585813 
-4.488988 	 144.891011 	 -1.285770 	 -4.524977 	 144.880266 	 -1.280669 	 0.601947 	 0.598053 
-4.490857 	 144.832856 	 -1.282365 	 -4.509189 	 144.827383 	 -1.280669 	 0.613568 	 0.611432 
-4.475661 	 144.770772 	 -1.284852 	 -4.490927 	 144.766215 	 -1.280669 	 0.625734 	 0.624266 
-4.460281 	 144.715434 	 -1.281033 	 -4.474499 	 144.711189 	 -1.280669 	 0.638423 	 0.636577 
-4.440129 	 144.649533 	 -1.287618 	 -4.454785 	 144.645157 	 -1.280669 	 0.650542 	 0.649458 
-4.425415 	 144.586003 	 -1.281855 	 -4.436166 	 144.582793 	 -1.280669 	 0.663165 	 0.661835 
-4.412598 	 144.528423 	 -1.285391 	 -4.419334 	 144.526412 	 -1.280669 	 0.675156 	 0.674844 
-4.399286 	 144.463300 	 -1.286369 	 -4.400393 	 144.462969 	 -1.280669 	 0.687188 	 0.687812 
-4.377575 	 144.405701 	 -1.295233 	 -4.382827 	 144.404133 	 -1.280669 	 0.699364 	 0.700636 
-4.357338 	 144.338076 	 -1.285119 	 -4.362633 	 144.336495 	 -1.280669 	 0.712577 	 0.712423 
-4.327088 	 144.266485 	 -1.285107 	 -4.340533 	 144.262470 	 -1.280669 	 0.725696 	 0.724304 
-4.295620 	 144.206866 	 -1.278581 	 -4.321615 	 144.199105 	 -1.280669 	 0.739655 	 0.735345 
-4.283908 	 144.129122 	 -1.278576 	 -4.299346 	 144.124513 	 -1.280669 	 0.751365 	 0.748635 
-4.257765 	 144.053287 	 -1.273378 	 -4.276419 	 144.047718 	 -1.280669 	 0.764540 	 0.760460 
-4.235460 	 143.980973 	 -1.269961 	 -4.254771 	 143.975208 	 -1.280669 	 0.777392 	 0.772608 
-4.224371 	 143.910772 	 -1.267303 	 -4.234620 	 143.907712 	 -1.280669 	 0.789395 	 0.785605 
-4.196245 	 143.838662 	 -1.273015 	 -4.212551 	 143.833794 	 -1.280669 	 0.801974 	 0.798026 
-4.166023 	 143.761548 	 -1.262069 	 -4.188940 	 143.754707 	 -1.280669 	 0.815954 	 0.809046 
-4.150785 	 143.681488 	 -1.261608 	 -4.165747 	 143.677021 	 -1.280669 	 0.827861 	 0.822139 
