cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-11.772706 	 167.280091 	 -1.468592 	 -11.446380 	 167.378803 	 -1.277070 	 0.023669 	 0.026331 
-11.775807 	 167.278812 	 -1.467668 	 -11.446327 	 167.378441 	 -1.277144 	 0.047326 	 0.052674 
-11.772805 	 167.279127 	 -1.469463 	 -11.446162 	 167.377896 	 -1.277144 	 0.070998 	 0.079002 
-11.769718 	 167.275235 	 -1.466766 	 -11.444826 	 167.373478 	 -1.277144 	 0.094710 	 0.105290 
-11.772182 	 167.275124 	 -1.465401 	 -11.445004 	 167.374065 	 -1.277144 	 0.118374 	 0.131626 
-11.771729 	 167.267211 	 -1.467408 	 -11.442772 	 167.366683 	 -1.277144 	 0.141991 	 0.158009 
-11.768826 	 167.261114 	 -1.465476 	 -11.440840 	 167.360294 	 -1.277144 	 0.165708 	 0.184292 
-11.773485 	 167.251217 	 -1.467436 	 -11.438489 	 167.352521 	 -1.277144 	 0.189195 	 0.210805 
-11.770709 	 167.228330 	 -1.476744 	 -11.431915 	 167.330782 	 -1.277144 	 0.212545 	 0.237455 
-11.772890 	 167.200271 	 -1.485287 	 -11.424323 	 167.305673 	 -1.277144 	 0.235693 	 0.264307 
-11.771955 	 167.171361 	 -1.495269 	 -11.416238 	 167.278942 	 -1.277114 	 0.258781 	 0.291219 
-11.765129 	 167.146638 	 -1.493457 	 -11.408814 	 167.254393 	 -1.277114 	 0.282342 	 0.317658 
-11.767848 	 167.117264 	 -1.491075 	 -11.400903 	 167.228236 	 -1.277114 	 0.305587 	 0.344413 
-11.756278 	 167.092153 	 -1.478849 	 -11.392976 	 167.202024 	 -1.277114 	 0.329655 	 0.370345 
-11.752865 	 167.064187 	 -1.466790 	 -11.384944 	 167.175465 	 -1.277086 	 0.353472 	 0.396528 
-11.741040 	 167.035666 	 -1.446164 	 -11.376052 	 167.146065 	 -1.277086 	 0.377984 	 0.422016 
-11.735205 	 166.997211 	 -1.430119 	 -11.364906 	 167.109214 	 -1.277086 	 0.402054 	 0.447946 
-11.727260 	 166.952177 	 -1.421688 	 -11.351754 	 167.065730 	 -1.277126 	 0.425841 	 0.474159 
-11.724314 	 166.910961 	 -1.412891 	 -11.340089 	 167.027158 	 -1.277126 	 0.449484 	 0.500516 
-11.718451 	 166.865278 	 -1.412249 	 -11.326947 	 166.983697 	 -1.277091 	 0.472791 	 0.527209 
-11.708325 	 166.817427 	 -1.411139 	 -11.312837 	 166.937046 	 -1.277091 	 0.496270 	 0.553730 
-11.702774 	 166.768187 	 -1.415319 	 -11.298720 	 166.890371 	 -1.277146 	 0.519184 	 0.580816 
-11.696514 	 166.716870 	 -1.419159 	 -11.283978 	 166.841622 	 -1.277146 	 0.542053 	 0.607947 
