cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-5.644069 	 146.283913 	 -1.167974 	 -5.001328 	 146.475804 	 -1.280669 	 0.011802 	 0.013198 
-5.643871 	 146.285062 	 -1.171929 	 -5.001627 	 146.476805 	 -1.280669 	 0.023596 	 0.026404 
-5.644480 	 146.284969 	 -1.168587 	 -5.001651 	 146.476887 	 -1.280669 	 0.035405 	 0.039595 
-5.647058 	 146.285062 	 -1.171125 	 -5.001888 	 146.477678 	 -1.280669 	 0.047181 	 0.052819 
-5.645401 	 146.282653 	 -1.166939 	 -5.001092 	 146.475012 	 -1.280669 	 0.059008 	 0.065992 
-5.645443 	 146.280725 	 -1.170057 	 -5.000567 	 146.473254 	 -1.280669 	 0.070782 	 0.079218 
-5.640911 	 146.278612 	 -1.165987 	 -4.999617 	 146.470072 	 -1.280669 	 0.082647 	 0.092353 
-5.635402 	 146.268549 	 -1.163702 	 -4.996407 	 146.459322 	 -1.280669 	 0.094501 	 0.105499 
-5.628335 	 146.256170 	 -1.162321 	 -4.992436 	 146.446019 	 -1.280669 	 0.106366 	 0.118634 
-5.622954 	 146.243419 	 -1.150790 	 -4.988500 	 146.432837 	 -1.280669 	 0.118347 	 0.131653 
-5.615094 	 146.228871 	 -1.150366 	 -4.983869 	 146.417325 	 -1.280669 	 0.130234 	 0.144766 
-5.610930 	 146.218734 	 -1.143262 	 -4.980749 	 146.406876 	 -1.280669 	 0.142196 	 0.157804 
-5.605251 	 146.203371 	 -1.148235 	 -4.976073 	 146.391213 	 -1.280669 	 0.153982 	 0.171018 
-5.602759 	 146.192937 	 -1.150626 	 -4.973009 	 146.380950 	 -1.280669 	 0.165774 	 0.184226 
-5.598609 	 146.175498 	 -1.150222 	 -4.967889 	 146.363800 	 -1.280669 	 0.177604 	 0.197396 
-5.588200 	 146.157151 	 -1.154232 	 -4.962008 	 146.344101 	 -1.280669 	 0.189459 	 0.210541 
-5.583994 	 146.138859 	 -1.155068 	 -4.956650 	 146.326154 	 -1.280669 	 0.201257 	 0.223743 
-5.572976 	 146.116917 	 -1.154739 	 -4.949733 	 146.302987 	 -1.280669 	 0.213199 	 0.236801 
-5.568388 	 146.098940 	 -1.152184 	 -4.944430 	 146.285224 	 -1.280669 	 0.225086 	 0.249914 
-5.560358 	 146.079055 	 -1.155706 	 -4.938322 	 146.264765 	 -1.280669 	 0.236895 	 0.263105 
-5.552016 	 146.057761 	 -1.151910 	 -4.931802 	 146.242927 	 -1.280669 	 0.248889 	 0.276111 
-5.547683 	 146.035652 	 -1.154823 	 -4.925387 	 146.221439 	 -1.280669 	 0.260601 	 0.289399 
-5.531524 	 146.018490 	 -1.154127 	 -4.919360 	 146.201253 	 -1.280669 	 0.272771 	 0.302229 
-5.521950 	 145.990599 	 -1.152683 	 -4.910931 	 146.173020 	 -1.280669 	 0.284709 	 0.315291 
-5.509035 	 145.963227 	 -1.148800 	 -4.902371 	 146.144347 	 -1.280669 	 0.296836 	 0.328164 
-5.499787 	 145.929164 	 -1.149002 	 -4.892277 	 146.110537 	 -1.280669 	 0.308674 	 0.341326 
-5.480937 	 145.903923 	 -1.140356 	 -4.883815 	 146.082194 	 -1.280669 	 0.321204 	 0.353796 
-5.473261 	 145.875568 	 -1.140796 	 -4.875414 	 146.054056 	 -1.280669 	 0.333058 	 0.366942 
-5.451480 	 145.849511 	 -1.134981 	 -4.866489 	 146.024161 	 -1.280669 	 0.345650 	 0.379350 
-5.439145 	 145.823881 	 -1.127193 	 -4.858454 	 145.997247 	 -1.280669 	 0.358030 	 0.391970 
-5.431937 	 145.787909 	 -1.120877 	 -4.848004 	 145.962243 	 -1.280669 	 0.370078 	 0.404922 
-5.409547 	 145.751715 	 -1.117735 	 -4.836250 	 145.922874 	 -1.280669 	 0.382585 	 0.417415 
-5.389238 	 145.711426 	 -1.107816 	 -4.823544 	 145.880315 	 -1.280669 	 0.395277 	 0.429723 
-5.368944 	 145.673842 	 -1.108849 	 -4.811580 	 145.840244 	 -1.280669 	 0.407581 	 0.442419 
-5.349924 	 145.634127 	 -1.102067 	 -4.799137 	 145.798565 	 -1.280669 	 0.420166 	 0.454834 
-5.339430 	 145.598211 	 -1.098322 	 -4.788433 	 145.762712 	 -1.280669 	 0.432329 	 0.467671 
-5.313514 	 145.560182 	 -1.096189 	 -4.775888 	 145.720691 	 -1.280669 	 0.445082 	 0.479918 
-5.292087 	 145.521505 	 -1.085944 	 -4.763532 	 145.679306 	 -1.280669 	 0.458048 	 0.491952 
-5.274483 	 145.488665 	 -1.089094 	 -4.753089 	 145.644328 	 -1.280669 	 0.470313 	 0.504687 
-5.238923 	 145.445540 	 -1.088213 	 -4.738358 	 145.594985 	 -1.280669 	 0.483503 	 0.516497 
-5.221829 	 145.402786 	 -1.080188 	 -4.725239 	 145.551043 	 -1.280669 	 0.496214 	 0.528786 
-5.193137 	 145.360921 	 -1.075786 	 -4.711415 	 145.504740 	 -1.280669 	 0.509363 	 0.540637 
-5.174882 	 145.310809 	 -1.072527 	 -4.696184 	 145.453725 	 -1.280669 	 0.521835 	 0.553165 
-5.150892 	 145.264126 	 -1.075243 	 -4.681424 	 145.404286 	 -1.280669 	 0.534352 	 0.565648 
-5.132892 	 145.215997 	 -1.080898 	 -4.666758 	 145.355162 	 -1.280669 	 0.546373 	 0.578627 
-5.100815 	 145.168405 	 -1.072725 	 -4.651087 	 145.302672 	 -1.280669 	 0.559970 	 0.590030 
-5.074587 	 145.114846 	 -1.072280 	 -4.634259 	 145.246307 	 -1.280669 	 0.572745 	 0.602255 
-5.049109 	 145.073297 	 -1.067888 	 -4.620785 	 145.201174 	 -1.280669 	 0.585946 	 0.614054 
-5.025742 	 145.016216 	 -1.068171 	 -4.603226 	 145.142359 	 -1.280669 	 0.598508 	 0.626492 
-4.992645 	 144.966994 	 -1.064579 	 -4.587024 	 145.088093 	 -1.280669 	 0.612049 	 0.637951 
-4.966516 	 144.908283 	 -1.062705 	 -4.568792 	 145.027024 	 -1.280669 	 0.624934 	 0.650066 
-4.934270 	 144.852334 	 -1.065183 	 -4.550816 	 144.966814 	 -1.280669 	 0.637995 	 0.662005 
-4.891345 	 144.799979 	 -1.054587 	 -4.532952 	 144.906978 	 -1.280669 	 0.652699 	 0.672301 
-4.871546 	 144.739953 	 -1.053729 	 -4.514878 	 144.846437 	 -1.280669 	 0.665193 	 0.684807 
-4.831765 	 144.695604 	 -1.053493 	 -4.499465 	 144.794813 	 -1.280669 	 0.679276 	 0.695724 
-4.809729 	 144.626923 	 -1.044011 	 -4.478835 	 144.725712 	 -1.280669 	 0.692393 	 0.707607 
-4.769835 	 144.570788 	 -1.044077 	 -4.460182 	 144.663235 	 -1.280669 	 0.706332 	 0.718668 
-4.737120 	 144.499290 	 -1.038174 	 -4.437906 	 144.588621 	 -1.280669 	 0.719942 	 0.730058 
-4.687893 	 144.445231 	 -1.039989 	 -4.419059 	 144.525491 	 -1.280669 	 0.734559 	 0.740441 
-4.668265 	 144.384778 	 -1.036157 	 -4.400881 	 144.464605 	 -1.280669 	 0.747410 	 0.752590 
-4.630112 	 144.321396 	 -1.034453 	 -4.380385 	 144.395953 	 -1.280669 	 0.761402 	 0.763598 
-4.590586 	 144.257274 	 -1.041305 	 -4.359573 	 144.326243 	 -1.280669 	 0.774866 	 0.775134 
-4.550083 	 144.187777 	 -1.036904 	 -4.337208 	 144.251331 	 -1.280669 	 0.789201 	 0.785799 
-4.499482 	 144.117613 	 -1.044292 	 -4.313833 	 144.173039 	 -1.280669 	 0.803411 	 0.796589 
-4.472064 	 144.054325 	 -1.038815 	 -4.294241 	 144.107414 	 -1.280669 	 0.817072 	 0.807928 
-4.424777 	 143.989053 	 -1.047501 	 -4.272479 	 144.034522 	 -1.280669 	 0.831124 	 0.818876 
-4.382362 	 143.922781 	 -1.043290 	 -4.250841 	 143.962047 	 -1.280669 	 0.845885 	 0.829115 
-4.345668 	 143.855675 	 -1.056930 	 -4.229443 	 143.890374 	 -1.280669 	 0.858708 	 0.841292 
-4.309867 	 143.778784 	 -1.061277 	 -4.205436 	 143.809962 	 -1.280669 	 0.872023 	 0.852977 
-4.265044 	 143.712141 	 -1.059582 	 -4.183500 	 143.736486 	 -1.280669 	 0.886899 	 0.863101 
