cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-10.774624 	 163.989462 	 -1.566459 	 -10.450814 	 164.087407 	 -1.277070 	 0.023431 	 0.026569 
-10.773279 	 163.987516 	 -1.569238 	 -10.450449 	 164.085138 	 -1.277144 	 0.046853 	 0.053147 
-10.771169 	 163.986479 	 -1.570978 	 -10.449892 	 164.083645 	 -1.277115 	 0.070279 	 0.079721 
-10.770914 	 163.986608 	 -1.569983 	 -10.449901 	 164.083681 	 -1.277126 	 0.093718 	 0.106282 
-10.771594 	 163.982568 	 -1.566981 	 -10.448839 	 164.080172 	 -1.277126 	 0.117162 	 0.132838 
-10.772684 	 163.972542 	 -1.571112 	 -10.446155 	 164.071294 	 -1.277126 	 0.140473 	 0.159527 
-10.774270 	 163.958013 	 -1.572257 	 -10.442261 	 164.058419 	 -1.277126 	 0.163765 	 0.186235 
-10.778859 	 163.932308 	 -1.578835 	 -10.435527 	 164.036144 	 -1.277103 	 0.186792 	 0.213208 
-10.773845 	 163.915610 	 -1.581387 	 -10.430479 	 164.019452 	 -1.277103 	 0.210082 	 0.239918 
-10.779652 	 163.890073 	 -1.583602 	 -10.423891 	 163.997671 	 -1.277103 	 0.233046 	 0.266954 
-10.781436 	 163.860217 	 -1.584827 	 -10.415769 	 163.970815 	 -1.277103 	 0.256032 	 0.293968 
-10.782272 	 163.840609 	 -1.581736 	 -10.410404 	 163.953075 	 -1.277103 	 0.279206 	 0.320794 
-10.781380 	 163.809475 	 -1.584312 	 -10.401702 	 163.924304 	 -1.277103 	 0.302124 	 0.347876 
-10.775856 	 163.781824 	 -1.570896 	 -10.393580 	 163.897447 	 -1.277101 	 0.325739 	 0.374261 
-10.774978 	 163.747298 	 -1.561208 	 -10.383935 	 163.865558 	 -1.277101 	 0.349026 	 0.400974 
-10.768960 	 163.711327 	 -1.543503 	 -10.373466 	 163.830944 	 -1.277101 	 0.372816 	 0.427184 
-10.762927 	 163.681990 	 -1.533731 	 -10.364832 	 163.802397 	 -1.277101 	 0.396417 	 0.453583 
-10.760788 	 163.641645 	 -1.524090 	 -10.353471 	 163.764832 	 -1.277101 	 0.419736 	 0.480264 
-10.761185 	 163.599947 	 -1.517314 	 -10.341944 	 163.726725 	 -1.277137 	 0.442787 	 0.507213 
-10.753126 	 163.554375 	 -1.509005 	 -10.328644 	 163.682742 	 -1.277137 	 0.466233 	 0.533767 
-10.750846 	 163.509879 	 -1.499049 	 -10.316126 	 163.641347 	 -1.277137 	 0.489506 	 0.560494 
-10.740494 	 163.463992 	 -1.498231 	 -10.302542 	 163.596428 	 -1.277137 	 0.512675 	 0.587325 
-10.736784 	 163.413269 	 -1.506968 	 -10.288185 	 163.548946 	 -1.277094 	 0.534834 	 0.615166 
-10.731841 	 163.354817 	 -1.490862 	 -10.271573 	 163.494019 	 -1.277094 	 0.558322 	 0.641678 
-10.726275 	 163.295588 	 -1.484441 	 -10.254694 	 163.438211 	 -1.277094 	 0.581249 	 0.668751 
-10.719251 	 163.230223 	 -1.480805 	 -10.235987 	 163.376372 	 -1.277118 	 0.603943 	 0.696057 
-10.707638 	 163.168788 	 -1.476988 	 -10.217993 	 163.316872 	 -1.277118 	 0.626979 	 0.723021 
-10.696917 	 163.098105 	 -1.465504 	 -10.197509 	 163.249138 	 -1.277118 	 0.650291 	 0.749709 
-10.690969 	 163.035762 	 -1.461619 	 -10.179740 	 163.190369 	 -1.277127 	 0.672902 	 0.777098 
-10.676397 	 162.971250 	 -1.438595 	 -10.160643 	 163.127220 	 -1.277127 	 0.697478 	 0.802522 
-10.672361 	 162.900864 	 -1.440076 	 -10.140807 	 163.061624 	 -1.277100 	 0.719331 	 0.830669 
-10.658723 	 162.824177 	 -1.421506 	 -10.118414 	 162.987586 	 -1.277100 	 0.743289 	 0.856711 
-10.648172 	 162.750139 	 -1.421195 	 -10.097016 	 162.916833 	 -1.277100 	 0.765608 	 0.884392 
-10.628954 	 162.669634 	 -1.413476 	 -10.073093 	 162.837738 	 -1.277109 	 0.789047 	 0.910953 
-10.610416 	 162.588833 	 -1.393703 	 -10.049153 	 162.758582 	 -1.277109 	 0.813491 	 0.936509 
-10.589017 	 162.506900 	 -1.368600 	 -10.024656 	 162.677575 	 -1.277113 	 0.838702 	 0.961298 
-10.576385 	 162.415999 	 -1.365813 	 -9.998413 	 162.590800 	 -1.277113 	 0.860941 	 0.989059 
-10.550341 	 162.335771 	 -1.352517 	 -9.973995 	 162.510072 	 -1.277116 	 0.885635 	 1.014365 
-10.535456 	 162.237642 	 -1.341184 	 -9.945558 	 162.416041 	 -1.277116 	 0.908666 	 1.041334 
-10.505985 	 162.150762 	 -1.341135 	 -9.919018 	 162.328278 	 -1.277119 	 0.932276 	 1.067724 
-10.490350 	 162.056135 	 -1.318111 	 -9.891486 	 162.237239 	 -1.277119 	 0.959962 	 1.090038 
-10.475693 	 161.948109 	 -1.306714 	 -9.860326 	 162.134200 	 -1.277127 	 0.985955 	 1.114045 
-10.433363 	 161.860895 	 -1.300614 	 -9.832617 	 162.042573 	 -1.277127 	 1.014432 	 1.135568 
-10.413479 	 161.752480 	 -1.286868 	 -9.800916 	 161.937750 	 -1.277103 	 1.040933 	 1.159067 
-10.373160 	 161.659725 	 -1.269130 	 -9.771835 	 161.841595 	 -1.277103 	 1.069866 	 1.180134 
