cur_x 	 cur_y 	 cur_yaw 	 line_x 	 line_y 	 line_yaw 	 l_speed 	 r_speed 
-11.240002 	 166.777545 	 -1.243540 	 -11.262460 	 166.770753 	 -1.277070 	 0.025142 	 0.024858 
-11.242820 	 166.776971 	 -1.243868 	 -11.262634 	 166.770979 	 -1.277144 	 0.050270 	 0.049730 
-11.242013 	 166.774691 	 -1.242692 	 -11.261917 	 166.768670 	 -1.277103 	 0.075414 	 0.074586 
-11.241645 	 166.775414 	 -1.244331 	 -11.262086 	 166.769229 	 -1.277103 	 0.100541 	 0.099459 
-11.240540 	 166.773209 	 -1.242388 	 -11.261384 	 166.766908 	 -1.277103 	 0.125706 	 0.124294 
-11.240271 	 166.763590 	 -1.243418 	 -11.258695 	 166.758017 	 -1.277103 	 0.150794 	 0.149206 
-11.233516 	 166.752415 	 -1.242222 	 -11.255034 	 166.745910 	 -1.277103 	 0.176004 	 0.173996 
-11.224891 	 166.731103 	 -1.240549 	 -11.248404 	 166.723990 	 -1.277103 	 0.201222 	 0.198778 
-11.222002 	 166.709272 	 -1.239552 	 -11.242112 	 166.703187 	 -1.277103 	 0.226318 	 0.223682 
-11.214440 	 166.687200 	 -1.240751 	 -11.235367 	 166.680875 	 -1.277117 	 0.251456 	 0.248544 
-11.209157 	 166.663237 	 -1.244256 	 -11.228285 	 166.657458 	 -1.277117 	 0.276453 	 0.273547 
-11.200065 	 166.638515 	 -1.245954 	 -11.220671 	 166.632280 	 -1.277117 	 0.301581 	 0.298419 
-11.190577 	 166.617944 	 -1.246596 	 -11.214176 	 166.610806 	 -1.277117 	 0.326793 	 0.323207 
-11.182462 	 166.592647 	 -1.246975 	 -11.206486 	 166.585376 	 -1.277117 	 0.351933 	 0.348067 
-11.170141 	 166.559029 	 -1.248525 	 -11.196138 	 166.551172 	 -1.277122 	 0.377091 	 0.372909 
-11.158896 	 166.524651 	 -1.254110 	 -11.185669 	 166.516557 	 -1.277122 	 0.402039 	 0.397961 
